,data,label
11021,"Fischstücke und Orangenfilets in die Sauce legen und erwärmen, Gemüse auf Teller verteilen, Fisch und Sauce darauf anrichten, dazu passt Reis.",0
2297,"Die Soße mit Sahne und Gin einkochen, mit einer Prise Salz und einer Prise Pfeffer abschmecken und im Mixer pürieren, warm stellen.",1
2591,Die Forellen in den Sud geben und in ca. 10 Minuten gar ziehen lassen.,1
18714,"Wer nicht gerne Paprika roh essen mag, kann diese vorher in einer Pfanne anbraten.",1
20221,Ggfs als Beilage Reis und grünen Salat reichen,0
20004,Alternativ kann man zur Bestimmung des Garpunktes ein Fleischthermometer verwenden.,1
0,"Die Birne schälen, vierteln, entkernen, in Spalten schneiden und auf den Pizzen verteilen.",1
19782,In tiefen Tellern anrichten und dazu Baguette und Basilikum Pesto oder Aioli reichen.,1
15999,Der Salat wird bevorzugt lauwarm gegessen.,0
1853,Butterschmalz in einer Schmorpfanne erhitzen.,1
18378,Knoblauch dünn scheibeln und beides in 20 g Butter hellbraun rösten.,1
14972,Tipp: Anstelle von Reis kann auch Zartweizen verwendet werden.,0
19799,Die Garzeit hängt auch von der Linsenqualität ab.,0
16796,"Den Schellfisch säubern, evtl. enthäuten und portionieren",1
17664,"Wer keine Oliven mag, kann sie natürlich auch einfach weglassen.",0
5189,"Feta-Käse zerbröseln, Grana padano in Stücke schneiden und beides dazugeben.",1
20163,Das schmeckt auch sehr gut mit Minutensteaks vom Schwein.,0
947,"Passierte Paradeiser mit Knoblauch, Senf, Öl, Sojasauce, Honig und Chili gut vermischen.",1
2777,Eier hacken.,1
17305,Dazu passt ein einfacher Blattsalat mit Zitronendressing.,0
20118,"Falls es ansetzen sollte, ein wenig Wasser dazugeben.",1
19904,"Die gewürfelte Zwiebel im Schmalz ganz schwach anrösten, sie sollte nicht zu braun werden.",0
20190,Vor dem Servieren mit einem Krönchen aus Preiselbeer-Konfitüre versehen.,1
20170,Dazu passt natürlich Reis oder auch Spätzle.,0
20093,Dazu passt Kartoffel-Sellerie-Püree oder Risotto Milanese.,0
